 營運日 , 星期 , 總運量 
112/1/1,週日,12860
112/1/2,週一,6892
112/1/3,週二,2623
112/1/4,週三,2625
112/1/5,週四,3906
112/1/6,週五,2678
112/1/7,週六,7900
112/1/8,週日,10665
112/1/10,週二,3459
112/1/11,週三,3679
112/1/12,週四,5247
112/1/13,週五,5546
112/1/14,週六,11334
112/1/15,週日,5015
112/1/17,週二,3771
112/1/18,週三,2611
112/1/19,週四,4361
112/1/20,週五,5363
112/1/22,週日,18299
112/1/23,週一,16343
112/1/24,週二,14025
112/1/25,週三,18205
112/1/26,週四,19007
112/1/27,週五,15219
112/1/28,週六,14686
112/1/29,週日,16705
112/1/31,週二,16413
